-8307603.429094381,682306.8672479689,-4165002.826660401
-8155722.284027437,-362255.00702769676,-4468242.29780251
-7870623.038251139,-1400888.3334177448,-4698317.013528954
-7455577.895992696,-2416352.5735017247,-4850620.543729059
-6915225.376137817,-3391129.7501657894,-4921176.875721224
-6255718.457175496,-4307358.464506097,-4906695.427853064
-5484932.884137576,-5146796.184235294,-4804668.500490565
-4612736.64073697,-5890831.540787955,-4613519.679418889
-3651316.837010647,-6520574.347237905,-4332811.354914253
-2615561.2207492352,-7017054.424027729,-3963521.2489071814
-1523469.531433713,-7361580.374520699,-3508393.470156281
-396563.61303016427,-7536310.904406632,-2972366.755091518
739777.5947981845,-7525105.612401143,-2363064.978666931
1856159.3333828088,-7314710.787143723,-1691316.2710424743
2919345.325596322,-6896309.928956036,-971627.9564077812
3892963.4743395904,-6267394.553087942,-222495.16089524914
4738940.42249632,-5433789.7513893135,533622.9294442183
5419806.691396672,-4411492.683669642,1270860.0157076612
5901816.535769659,-3227817.4953188845,1961188.640798617
6158536.443102023,-1921269.4066647054,2576382.0503770015
6174230.475991879,-539721.6973521684,3090489.704024135
5946199.710318455,863099.9248456961,3482375.0051822616
5485388.518852047,2232277.805550881,3737747.600182047
4815046.592328584,3516519.3503863565,3850215.2685772297
3967823.5039053843,4672118.662371573,3821185.631016339
2982079.662877442,5665387.568311845,3658788.544401312
1898251.464509317,6473424.641523801,3376218.1101584113
755870.5884732417,7083529.562690449,2989927.056223753
-408494.4990925444,7491768.986021654,2518002.0586298616
-1562403.8979208707,7701196.24803632,1978888.6771739346
-2677991.0894282553,7720084.27326663,1390505.5988910405
-3731920.991522148,7560381.934019218,769700.5698659921
-4705057.492786965,7236473.991662857,131972.6950550734
-5581995.702337729,6764248.769722507,-508620.2117015766
-6350561.692041581,6160434.495014016,-1139438.4021422532
-7001334.436747587,5442155.420796252,-1749168.222311123
-7527226.708688678,4626653.976792997,-2327700.7251580684
-7923133.166703375,3731138.1178082475,-2866000.2453304864
-8185650.703124473,2772718.171029049,-3355978.7339754365
-8312868.891026103,1768403.948803193,-3790385.423572332
-8304224.6879723845,735147.2973994532,-4162714.156293331
-8160418.955408346,-310091.54076497984,-4467134.996914682
-7883390.779947359,-1350258.542060906,-4698449.761744942
-7476347.980472482,-2368118.5673114676,-4852076.85032745
-6943853.937528919,-3346170.169277296,-4924066.9605576405
-6291972.283487919,-4266576.0643959055,-4911155.450920247
-5528469.368309976,-5111125.297902956,-4810857.150499745
-4663079.228181006,-5861240.670432752,-4621611.0820866
-3707825.3818259947,-6498063.221298899,-4342983.633077903
-2677397.9054684676,-7002642.525347144,-3975939.7853776505
-1589562.2179189038,-7356283.293284931,-3523188.1361597152
-465568.4343846971,-7541100.451360189,-2989601.9686693614
669504.8374405332,-7540848.082672937,-2382704.6967311427
1786578.6082419578,-7342080.651606187,-1713183.9239013104
2852717.867694808,-6935677.197206189,-995367.9197584258
3831792.743019664,-6318692.018790985,-247543.82801438283
4685854.473259679,-5496375.296402677,508045.3617994469
5377371.892486402,-4484038.438397569,1245721.3023171802
5872297.210573569,-3308262.477434708,1937573.871938337
6143632.543953482,-2006877.0103297604,2555380.0145828035
6174851.593763898,-627260.2213916417,3073055.4237267827
5962336.55593557,777071.6173598801,3469200.597369077
5516121.166420204,2151076.2987525044,3729176.2858773675
4858685.893505078,3443032.4012220125,3846220.5975356204
4022144.3310881616,4608590.092353623,3821414.7554554637
3044581.2166691334,5613325.53079756,3662650.225849188
1966391.347857806,6433618.835239134,3382986.687755104
827239.7190076532,7056145.252883222,2998838.37586572
-336063.9083406584,7476478.12118521,2528327.1277457266
-1490788.294782988,7697313.758266711,1989981.080156844
-2608769.1686937553,7726689.825982348,1401824.5764048083
-3666391.075853062,7576417.865013442,780817.332164195
-4644270.874956669,7260818.493730881,142563.52047033398
-5526793.251293864,6795766.536886743,-498787.1278775996
-6301609.648386737,6198009.322560683,-1130519.2571439135
-6959157.1678454075,5484708.139529549,-1741261.3431124391
-7492232.784757049,4673151.688784126,-2320862.2255635727
-7895637.593685934,3780594.8045507288,-2860259.5973080616
-8165891.083529553,2824191.1251942357,-3351351.852456748
-8301016.823611453,1820986.806953513,-3786886.0016346155
-8300392.578880385,787960.9883994765,-4160363.128020245
-8164662.5912987245,-257908.8445949289,-4465968.114875535
-7895707.5200170465,-1299563.2140830394,-4698523.6516141705
-7496671.280973451,-2319771.0199711677,-4853472.582405302
-6972043.172653008,-3301046.099306236,-4926892.152422874
-6327798.306612707,-4225575.25348703,-4915543.690322081
-5571595.279686253,-5075178.387666116,-4816964.625618494
-4713036.137993431,-5831312.280766669,-4629609.707907474
-3763983.412662229,-6475149.343441204,-4353049.944046654
-2738931.6197138187,-6987760.248654288,-3988238.255681271
-1655415.285240323,-7350447.413755101,-3537849.1462545814
-534416.2963332782,-7545285.1766018765,-3006692.496794886
599285.3734667418,-7555927.170698128,-2402193.1888901633
1716924.912994,-7368742.828324604,-1734901.1442846837
2785870.625235778,-6974315.147688919,-1018967.668966116
3770239.310247193,-6369271.021295857,-272474.1252838297
4632216.097914085,-5558295.54660844,482551.9241153978
5334223.260296551,-4556020.4356159875,1220622.5089733517
5841928.729629617,-3388294.441404335,1913949.395110905
6127788.368573829,-2092263.940908052,2534320.3002572847
