-2903100.584148919,-5377745.794301865,3472916.7844846207,7397.968069212211,-2696.332889751474,2274.1457611807873,5,0.1846286,34.2598,7.8997,233.0918,108.6087,10.84817518,0 VANGUARD 1,|Inclined Orbit |||
-80637.92465784324,7141999.597048454,4606810.532471839,-6628.370236724625,606.1270606163664,662.3984739665024,11,0.1468542,32.8708,334.3145,2.9197,357.8956,11.85538765,0 VANGUARD 2,|Inclined Orbit |||
-5696478.478788206,-5032962.77153721,-4834530.844939322,3320.927230712872,-5435.423052487898,25.301800940350873,12,0.166733,32.8997,82.8336,111.1519,267.4907,11.4423521,0 VANGUARD R/B,|Inclined Orbit |||
3090390.035932636,-8995973.12221384,647530.6791871794,4474.416009742568,2504.3803471549636,-3483.842207857158,16,0.2025456,34.2653,151.6184,328.1322,21.0975,10.48655203,0 VANGUARD R/B,|Inclined Orbit |||
3759298.875274476,4994107.549640174,-4039154.57922873,-6305.593569669733,4198.1499467228105,1222.3908236185966,20,0.166812,33.3578,318.1665,271.6852,69.4237,11.55585612,0 VANGUARD 3,|Inclined Orbit |||
3892043.873095105,5206569.353781355,2424075.2919455715,-5254.511813515569,1617.6577418232368,5238.897862714229,22,0.014089299999999999,50.2861,3.2075,287.8161,70.7458,14.94558492,0 EXPLORER 7,|LEO ||Inclined Orbit |||
4742449.887037535,-862090.7890998495,5124846.137266264,2622.349473288668,6935.071860317623,-1253.1673894532896,29,0.0024687999999999997,48.3792,228.1744,281.3241,78.4897,14.74248044,0 TIROS 1,|LEO ||Inclined Orbit |||
-4361369.820851904,3357702.255932767,4842641.829905354,-5570.673003087262,-554.8518497038117,-4657.988398222353,45,0.025065,66.6933,186.4284,139.9341,222.0551,14.33600583,0 TRANSIT 2A,|LEO ||Inclined Orbit |||
-6391206.912196774,171343.57101266642,2799473.83495005,-2939.7736391140343,-3215.016622059859,-6258.962011291503,46,0.021501,66.6908,263.9285,326.0328,32.7164,14.49147535,0 SOLRAD 1 (GREB),|LEO ||Inclined Orbit |||
-4206561.989625299,4514182.776485679,3613872.615856922,-311.9967471868186,-4683.01610761074,5793.106223703009,47,0.022203,66.6663,350.7084,130.6185,231.4469,14.41984818,0 THOR ABLESTAR R/B,|LEO ||Inclined Orbit |||
2453414.770315744,-6449757.011373398,-4135761.2742840894,4387.297681718301,4065.8862048595993,-3647.680338348113,50,0.0113898,47.2319,276.7476,261.9983,96.7869,12.20104264,0 DELTA 1 R/B,|LEO ||Inclined Orbit |||
6358216.122852192,-2864282.3733349354,4025634.4102000427,254.20560375915318,5910.521825697857,3748.6880492258365,51,0.0103447,47.21,136.939,102.9444,258.2921,12.1826473,0 ECHO 1 DEB (METAL OBJ),|LEO ||Inclined Orbit |||
6182252.656306198,-1046131.8378922876,4802341.484571558,3246.3486713405414,5641.035106876002,-2939.727951970902,53,0.009974199999999999,47.2781,41.4106,34.6936,326.0308,12.1721379,0 ECHO 1 DEB (METAL OBJ),|LEO ||Inclined Orbit |||
5846231.078889802,-3590608.240288833,-3065346.39105955,4416.708693209486,5501.061257014269,1713.9541358242227,58,0.016506299999999998,28.3279,282.904,7.1311,353.1538,13.46313782,0 COURIER 1B,|LEO ||Inclined Orbit |||
-7054922.588921577,956118.2314917531,1618237.1604024824,-159.9877031159841,-6778.2662000446835,3110.9275435231266,59,0.0189316,28.2484,88.0002,148.4383,212.7671,13.52960799,0 THOR ABLESTAR R/B,|LEO ||Inclined Orbit |||
3272734.732502039,-5741012.138054536,2342077.574569666,6430.660849722691,2016.8584801381155,-4258.103253424779,82,0.1175001,38.8557,82.8144,80.4823,292.6426,12.25951474,0 SCOUT X-1 R/B,|Inclined Orbit |||
4263562.754227729,3870019.5996030043,4605942.538184737,-4813.560696006792,5420.404871629968,-426.821740140506,85,0.0388253,38.774,225.4362,211.0725,146.6517,14.18582005,0 SCOUT X-1 DEB,|LEO ||Inclined Orbit |||
-5116388.994240541,-4203067.317310709,3233611.897221809,4222.64699401787,-5722.360385865623,-1604.4197719757824,107,0.054831599999999994,28.787,76.472,112.0735,253.897,14.08598139,0 EXPLORER 11,|LEO ||Inclined Orbit |||
-4899096.675375461,2148561.722316813,-4476961.874987128,-4834.58917009782,-5069.366910263531,2867.367107686929,115,0.0035076,48.1668,265.9426,197.794,162.1746,14.83295792,0 THOR ABLE DEB (YO),|LEO ||Inclined Orbit |||
3612829.3705310896,-2808137.1488718204,5713689.442811578,6400.864950779958,903.6311338899334,-3532.8489864659373,116,0.007502399999999999,66.81,231.6045,177.1007,183.0523,13.91733833,0 TRANSIT 4A,|LEO ||Inclined Orbit |||
479996.41427846154,-7170108.655289782,977388.8137443302,2886.9705973490486,1139.6135474261187,6766.472805256438,117,0.0079572,66.8125,322.8823,196.5985,163.2487,13.89825817,0 SOLRAD 3/INJUN 1,|LEO ||Inclined Orbit |||
-963449.9824868772,6215719.436497084,3520645.0556033673,-2839.2768276958127,-3717.845360095318,5819.641301133999,118,0.0083264,66.7625,179.1813,184.5551,175.4785,14.01602419,0 THOR ABLESTAR R/B,|LEO ||Inclined Orbit |||
2623925.388751161,-2197554.9572463594,6245610.1516176425,1110.8123376491972,7129.735867891212,2093.9728753901545,119,0.011010899999999999,66.73,73.0435,225.3774,133.8302,14.23107063,0 THOR ABLESTAR DEB,|LEO ||Inclined Orbit |||
2164808.558893249,-3680211.013475355,-5892633.461456083,6506.88543698927,-1287.1871530068759,3168.025143575363,120,0.0122987,66.7046,151.4795,320.2728,38.9406,14.25123825,0 THOR ABLESTAR DEB,|LEO ||Inclined Orbit |||
