OBJECT_NAME	OBJECT_ID	NA	OBJECT_TYPE	OPS_STATUS_CODE	OWNER
SL-1 R/B	1957001A	57001A	R/B	D	CIS
SPUTNIK 1	1957001B	57001B	PAY	D	CIS
SPUTNIK 2	1957002A	57002A	PAY	D	CIS
EXPLORER 1	1958001A	58001A	PAY	D	US
VANGUARD 1	1958002B	58002B	PAY	NA	US
EXPLORER 3	1958003A	58003A	PAY	D	US
SL-1 R/B	1958004A	58004A	R/B	D	CIS
SPUTNIK 3	1958004B	58004B	PAY	D	CIS
EXPLORER 4	1958005A	58005A	PAY	D	US
SCORE	1958006A	58006A	PAY	D	US
VANGUARD 2	1959001A	59001A	PAY	NA	US
VANGUARD R/B	1959001B	59001B	R/B	NA	US
DISCOVERER 1	1959002A	59002A	PAY	D	US
DISCOVERER 2	1959003A	59003A	PAY	D	US
EXPLORER 6	1959004A	59004A	PAY	D	US
VANGUARD R/B	1958002A	58002A	R/B	NA	US
THOR ABLE R/B	1959004B	59004B	R/B	D	US
DISCOVERER 5	1959005A	59005A	PAY	D	US
DISCOVERER 6	1959006A	59006A	PAY	D	US
VANGUARD 3	1959007A	59007A	PAY	NA	US
LUNA 3	1959008A	59008A	PAY	D	CIS
EXPLORER 7	1959009A	59009A	PAY	NA	US
JUNO II R/B	1959009B	59009B	R/B	D	US
DISCOVERER 7	1959010A	59010A	PAY	D	US
DISCOVERER 8	1959011A	59011A	PAY	D	US
DISCOVERER 5 CAPSULE	1959005B	59005B	PAY	D	US
PIONEER 5	1960001A	60001A	PAY	NA	US
THOR ABLE R/B	1960002A	60002A	R/B	D	US
TIROS 1	1960002B	60002B	PAY	-	US
THOR ABLESTAR R/B	1960003A	60003A	R/B	D	US
TRANSIT 1B	1960003B	60003B	PAY	D	US
DISCOVERER 11	1960004A	60004A	PAY	D	US
THOR ABLESTAR DEB	1960003C	60003C	DEB	D	US
SPUTNIK 4	1960005A	60005A	PAY	D	CIS
SL-3 R/B	1960005B	60005B	R/B	D	CIS
SPUTNIK 4 CABIN	1960005C	60005C	PAY	D	CIS
SPUTNIK 4 DEB	1960005D	60005D	DEB	D	CIS
SPUTNIK 4 DEB	1960005E	60005E	DEB	D	CIS
SPUTNIK 4 DEB	1960005F	60005F	DEB	D	CIS
SPUTNIK 4 DEB	1960005G	60005G	DEB	D	CIS
SPUTNIK 4 DEB	1960005H	60005H	DEB	D	CIS
SPUTNIK 4 DEB	1960005J	60005J	DEB	D	CIS
MIDAS 2	1960006A	60006A	PAY	D	US
MIDAS 2 DEB	1960006B	60006B	DEB	D	US
TRANSIT 2A	1960007A	60007A	PAY	NA	US
SOLRAD 1 (GREB)	1960007B	60007B	PAY	NA	US
THOR ABLESTAR R/B	1960007C	60007C	R/B	NA	US
DISCOVERER 13	1960008A	60008A	PAY	D	US
ECHO 1	1960009A	60009A	PAY	D	US
DELTA 1 R/B	1960009B	60009B	R/B	NA	US
ECHO 1 DEB [METAL OBJ]	1960009C	60009C	DEB	NA	US
ECHO 1 DEB [MYLAR OBJ]	1960009D	60009D	DEB	NA	US
ECHO 1 DEB [METAL OBJ]	1960009E	60009E	DEB	NA	US
DISCOVERER 14	1960010A	60010A	PAY	D	US
SPUTNIK 5	1960011A	60011A	PAY	D	CIS
SL-3 R/B	1960011B	60011B	R/B	D	CIS
DISCOVERER 15	1960012A	60012A	PAY	D	US
COURIER 1B	1960013A	60013A	PAY	NA	US
THOR ABLESTAR R/B	1960013B	60013B	R/B	NA	US
EXPLORER 8	1960014A	60014A	PAY	D	US
DISCOVERER 17	1960015A	60015A	PAY	D	US
JUNO II R/B	1960014B	60014B	R/B	D	US
TIROS 2	1960016A	60016A	PAY	D	US
DELTA 1 R/B	1960016B	60016B	R/B	D	US
SPUTNIK 6	1960017A	60017A	PAY	D	CIS
SL-3 R/B	1960017B	60017B	R/B	D	CIS
DISCOVERER 18	1960018A	60018A	PAY	D	US
DISCOVERER 19	1960019A	60019A	PAY	D	US
JUNO II DEB	1960014C	60014C	DEB	D	US
SAMOS 2	1961001A	61001A	PAY	D	US
SPUTNIK 7	1961002A	61002A	PAY	D	CIS
SL-6 R/B	1961002B	61002B	R/B	D	CIS
SL-6 DEB	1961002C	61002C	DEB	D	CIS
DELTA 1 DEB	1960016C	60016C	DEB	D	US
DELTA 1 DEB	1960016D	60016D	DEB	D	US
SL-6 R/B	1961003B	61003B	R/B	D	CIS
SPUTNIK 8	1961003C	61003C	PAY	D	CIS
SL-6 DEB	1961003D	61003D	DEB	D	CIS
ATLAS AGENA A R/B	1961001B	61001B	R/B	D	US
VENERA 1	1961003A	61003A	PAY	NA	CIS
EXPLORER 9	1961004A	61004A	PAY	D	US
SCOUT X-1 R/B	1961004B	61004B	R/B	NA	US
DISCOVERER 20	1961005A	61005A	PAY	D	US
DISCOVERER 21	1961006A	61006A	PAY	D	US
SCOUT X-1 DEB	1961004C	61004C	DEB	NA	US
SCOUT X-1 DEB	1961004D	61004D	DEB	D	US
TRANSIT 3B & LOFTI 1	1961007A	61007A	PAY	D	US
DISCOVERER 20 DEB	1961005B	61005B	DEB	D	US
DISCOVERER 20 DEB	1961005C	61005C	DEB	D	US
DISCOVERER 20 DEB	1961005D	61005D	DEB	D	US
SPUTNIK 9	1961008A	61008A	PAY	D	CIS
SPUTNIK 9 DEB	1961008B	61008B	DEB	D	CIS
SPUTNIK 9 DEB	1961008C	61008C	DEB	D	CIS
SPUTNIK 9 DEB	1961008D	61008D	DEB	D	CIS
SPUTNIK 10	1961009A	61009A	PAY	D	CIS
SL-3 R/B	1961009B	61009B	R/B	D	CIS
SL-3 DEB	1961009C	61009C	DEB	D	CIS
EXPLORER 10	1961010A	61010A	PAY	D	US
THOR ABLESTAR DEB	1960003D	60003D	DEB	D	US
DISCOVERER 23	1961011A	61011A	PAY	D	US
THOR ABLE DEB [YO]	1960002C	60002C	DEB	D	US
DISCOVERER 23 CAPSULE	1961011B	61011B	PAY	D	US
VOSTOK 1	1961012A	61012A	PAY	D	CIS
SL-3 R/B	1961012B	61012B	R/B	D	CIS
JUNO II DEB	1960014D	60014D	DEB	D	US
DISCOVERER 23 DEB	1961011C	61011C	DEB	D	US
EXPLORER 11	1961013A	61013A	PAY	NA	US
DISCOVERER 25	1961014A	61014A	PAY	D	US
DISCOVERER 25 DEB	1961014B	61014B	DEB	D	US
PIONEER 1	1958007A	58007A	PAY	D	US
PIONEER 3	1958008A	58008A	PAY	D	US
LUNA 1	1959012A	59012A	PAY	NA	CIS
PIONEER 4	1959013A	59013A	PAY	NA	US
LUNA 2	1959014A	59014A	PAY	D	CIS
THOR ABLE DEB [YO]	1960002D	60002D	DEB	NA	US
TRANSIT 4A	1961015A	61015A	PAY	NA	US
SOLRAD 3 & INJUN 1	1961015B	61015B	PAY	NA	US
THOR ABLESTAR R/B	1961015C	61015C	R/B	NA	US
THOR ABLESTAR DEB	1961015D	61015D	DEB	NA	US
THOR ABLESTAR DEB	1961015E	61015E	DEB	NA	US
THOR ABLESTAR DEB	1961015F	61015F	DEB	NA	US
THOR ABLESTAR DEB	1961015G	61015G	DEB	NA	US
THOR ABLESTAR DEB	1961015H	61015H	DEB	NA	US
THOR ABLESTAR DEB	1961015J	61015J	DEB	NA	US
THOR ABLESTAR DEB	1961015K	61015K	DEB	NA	US
THOR ABLESTAR DEB	1961015L	61015L	DEB	NA	US
THOR ABLESTAR DEB	1961015M	61015M	DEB	NA	US
THOR ABLESTAR DEB	1961015N	61015N	DEB	NA	US
THOR ABLESTAR DEB	1961015P	61015P	DEB	D	US
THOR ABLESTAR DEB	1961015Q	61015Q	DEB	NA	US
THOR ABLESTAR DEB	1961015R	61015R	DEB	NA	US
THOR ABLESTAR DEB	1961015S	61015S	DEB	NA	US
THOR ABLESTAR DEB	1961015T	61015T	DEB	NA	US
THOR ABLESTAR DEB	1961015U	61015U	DEB	NA	US
THOR ABLESTAR DEB	1961015V	61015V	DEB	D	US
THOR ABLESTAR DEB	1961015W	61015W	DEB	NA	US
THOR ABLESTAR DEB	1961015X	61015X	DEB	D	US
THOR ABLESTAR DEB	1961015Y	61015Y	DEB	NA	US
THOR ABLESTAR DEB	1961015Z	61015Z	DEB	D	US
THOR ABLESTAR DEB	1961015AA	61015AA	DEB	D	US
THOR ABLESTAR DEB	1961015AB	61015AB	DEB	NA	US
THOR ABLESTAR DEB	1961015AC	61015AC	DEB	D	US
THOR ABLESTAR DEB	1961015AD	61015AD	DEB	D	US
THOR ABLESTAR DEB	1961015AE	61015AE	DEB	NA	US
THOR ABLESTAR DEB	1961015AF	61015AF	DEB	NA	US
THOR ABLESTAR DEB	1961015AG	61015AG	DEB	D	US
THOR ABLESTAR DEB	1961015AH	61015AH	DEB	NA	US
THOR ABLESTAR DEB	1961015AJ	61015AJ	DEB	NA	US
THOR ABLESTAR DEB	1961015AK	61015AK	DEB	D	US
THOR ABLESTAR DEB	1961015AL	61015AL	DEB	NA	US
THOR ABLESTAR DEB	1961015AM	61015AM	DEB	D	US
THOR ABLESTAR DEB	1961015AN	61015AN	DEB	NA	US
THOR ABLESTAR DEB	1961015AP	61015AP	DEB	D	US
THOR ABLESTAR DEB	1961015AQ	61015AQ	DEB	NA	US
THOR ABLESTAR DEB	1961015AR	61015AR	DEB	NA	US
THOR ABLESTAR DEB	1961015AS	61015AS	DEB	D	US
THOR ABLESTAR DEB	1961015AT	61015AT	DEB	D	US
THOR ABLESTAR DEB	1961015AU	61015AU	DEB	NA	US
THOR ABLESTAR DEB	1961015AV	61015AV	DEB	NA	US
DISCOVERER 26	1961016A	61016A	PAY	D	US
THOR ABLESTAR DEB	1961015AW	61015AW	DEB	D	US
TIROS 3	1961017A	61017A	PAY	-	US
MIDAS 3	1961018A	61018A	PAY	NA	US
MIDAS 3 DEB	1961018B	61018B	DEB	D	US
DELTA 1 R/B	1961017B	61017B	R/B	D	US
DELTA 1 DEB [YO]	1961017C	61017C	DEB	D	US
DELTA 1 DEB [YO]	1961017D	61017D	DEB	NA	US
VOSTOK 2	1961019A	61019A	PAY	D	CIS
SL-3 R/B	1961019B	61019B	R/B	D	CIS
EXPLORER 12	1961020A	61020A	PAY	D	US
THOR ABLESTAR DEB	1961015AX	61015AX	DEB	D	US
THOR ABLESTAR DEB	1961015AY	61015AY	DEB	NA	US
RANGER 1	1961021A	61021A	PAY	D	US
ATLAS AGENA B R/B	1961021B	61021B	R/B	D	US
THOR ABLESTAR DEB	1961015AZ	61015AZ	DEB	D	US
THOR ABLESTAR DEB	1961015BA	61015BA	DEB	D	US
THOR ABLESTAR DEB	1961015BB	61015BB	DEB	NA	US
THOR ABLESTAR DEB	1961015BC	61015BC	DEB	NA	US
THOR ABLESTAR DEB	1961015BD	61015BD	DEB	D	US
EXPLORER 13	1961022A	61022A	PAY	D	US
DISCOVERER 29	1961023A	61023A	PAY	D	US
DISCOVERER 30	1961024A	61024A	PAY	D	US
MERCURY ATLAS 4	1961025A	61025A	PAY	D	US
ATLAS D R/B	1961025B	61025B	R/B	D	US
DISCOVERER 30 DEB	1961024B	61024B	DEB	D	US
DISCOVERER 31	1961026A	61026A	PAY	D	US
DISCOVERER 30 DEB	1961024C	61024C	DEB	D	US
MIDAS 3 DEB	1961018C	61018C	DEB	NA	US
DISCOVERER 32	1961027A	61027A	PAY	D	US
DISCOVERER 32 DEB	1961027B	61027B	DEB	D	US
DISCOVERER 32 DEB	1961027C	61027C	DEB	D	US
MIDAS 4	1961028A	61028A	PAY	NA	US
MIDAS 4 DEB [NOSECONE]	1961028B	61028B	DEB	D	US
MIDAS 4 DEB	1961028C	61028C	DEB	NA	US
MIDAS 4 DEB	1961028D	61028D	DEB	NA	US
MIDAS 3 DEB	1961018D	61018D	DEB	NA	US
DISCOVERER 34	1961029A	61029A	PAY	D	US
DISCOVERER 34 DEB	1961029B	61029B	DEB	D	US
DISCOVERER 34 DEB	1961029C	61029C	DEB	D	US
DISCOVERER 34 DEB	1961029D	61029D	DEB	D	US
DISCOVERER 35	1961030A	61030A	PAY	D	US
TRANSIT 4B	1961031A	61031A	PAY	NA	US
DISCOVERER 34 DEB	1961029E	61029E	DEB	D	US
THOR ABLESTAR R/B	1961031C	61031C	R/B	NA	US
TRAAC	1961031B	61031B	PAY	NA	US
RANGER 2	1961032A	61032A	PAY	D	US
DISCOVERER 35 DEB	1961030B	61030B	DEB	D	US
MERCURY ATLAS 5	1961033A	61033A	PAY	D	US
ATLAS D 5 R/B	1961033B	61033B	R/B	D	US
THOR ABLESTAR DEB	1961015BE	61015BE	DEB	NA	US
THOR ABLESTAR DEB	1961015BF	61015BF	DEB	D	US
THOR ABLESTAR DEB	1961015BG	61015BG	DEB	D	US
DISCOVERER 36	1961034A	61034A	PAY	D	US
OSCAR 1	1961034B	61034B	PAY	D	US
DISCOVERER 36 CAPSULE	1961034C	61034C	PAY	D	US
THOR ABLESTAR DEB	1961015BH	61015BH	DEB	D	US
SAMOS 5	1961035A	61035A	PAY	D	US
ATLAS AGENA B R/B	1961035B	61035B	R/B	D	US
SAMOS 5 DEB [REFLECTOR]	1961035C	61035C	DEB	D	US
THOR ABLESTAR DEB	1961015BJ	61015BJ	DEB	D	US
RANGER 3	1962001A	62001A	PAY	NA	US
ATLAS AGENA B R/B	1962001B	62001B	R/B	NA	US
THOR ABLESTAR DEB	1961015BK	61015BK	DEB	NA	US
THOR ABLESTAR DEB	1961015BL	61015BL	DEB	NA	US
THOR ABLESTAR DEB	1961015BM	61015BM	DEB	NA	US
TIROS 4	1962002A	62002A	PAY	-	US
DELTA 1 DEB [YO]	1962002B	62002B	DEB	NA	US
DELTA 1 DEB [YO]	1962002C	62002C	DEB	NA	US
DELTA 1 R/B	1962002D	62002D	R/B	D	US
THOR ABLESTAR DEB	1961015BN	61015BN	DEB	NA	US
THOR ABLESTAR DEB	1961015BP	61015BP	DEB	D	US
THOR ABLESTAR DEB	1961015BQ	61015BQ	DEB	NA	US
THOR ABLESTAR DEB	1961015BR	61015BR	DEB	NA	US
THOR ABLESTAR DEB	1961015BS	61015BS	DEB	NA	US
THOR ABLESTAR DEB	1961015BT	61015BT	DEB	NA	US
THOR ABLESTAR DEB	1961015BU	61015BU	DEB	D	US
THOR ABLESTAR DEB	1961015BV	61015BV	DEB	D	US
THOR ABLESTAR DEB	1961015BW	61015BW	DEB	D	US
THOR ABLESTAR DEB	1961015BX	61015BX	DEB	D	US
MERCURY ATLAS 6	1962003A	62003A	PAY	D	US
ATLAS D R/B	1962003B	62003B	R/B	D	US
FTV 2301	1962004A	62004A	PAY	D	US
THOR ABLESTAR DEB	1961015BY	61015BY	DEB	NA	US
THOR ABLESTAR DEB	1961015BZ	61015BZ	DEB	NA	US
THOR ABLESTAR DEB	1961015CA	61015CA	DEB	NA	US
THOR ABLESTAR DEB	1961015CB	61015CB	DEB	NA	US
DISCOVERER 38	1962005A	62005A	PAY	D	US
DISCOVERER 38 DEB	1962005B	62005B	DEB	D	US
DISCOVERER 38 DEB	1962005C	62005C	DEB	D	US
THOR ABLESTAR DEB	1961015CC	61015CC	DEB	D	US
DISCOVERER 38 DEB	1962005D	62005D	DEB	D	US
THOR ABLESTAR DEB	1961015CD	61015CD	DEB	NA	US
THOR ABLESTAR DEB	1961015CE	61015CE	DEB	NA	US
THOR ABLESTAR DEB	1961015CF	61015CF	DEB	NA	US
OSO 1	1962006A	62006A	PAY	D	US
SAMOS 6	1962007A	62007A	PAY	D	US
DELTA 1 R/B	1962006B	62006B	R/B	D	US
SAMOS 6 DEB [REFLECTOR]	1962007B	62007B	DEB	D	US
ATLAS AGENA B R/B	1962007C	62007C	R/B	D	US
THOR ABLESTAR DEB	1961015CG	61015CG	DEB	NA	US
THOR ABLESTAR DEB	1961015CH	61015CH	DEB	NA	US
THOR ABLESTAR DEB	1961015CJ	61015CJ	DEB	NA	US
THOR ABLESTAR DEB	1961015CK	61015CK	DEB	NA	US
THOR ABLESTAR DEB	1961015CL	61015CL	DEB	NA	US
THOR ABLESTAR DEB	1961015CM	61015CM	DEB	D	US
COSMOS 1 (SPUTNIK 11)	1962008A	62008A	PAY	D	CIS
SL-7 R/B	1962008B	62008B	R/B	D	CIS
THOR ABLESTAR DEB	1961015CN	61015CN	DEB	NA	US
COSMOS 2 (SPUTNIK 12)	1962009A	62009A	PAY	D	CIS
SL-7 R/B	1962009B	62009B	R/B	D	CIS
MIDAS 5 (STRONGBACK)	1962010A	62010A	PAY	NA	US
MIDAS 5 DEB	1962010B	62010B	DEB	D	US
MIDAS 5 DEB	1962010C	62010C	DEB	NA	US
MIDAS 5 DEB	1962010D	62010D	DEB	NA	US
THOR ABLESTAR DEB	1961015CP	61015CP	DEB	D	US
FTV 1154	1962011A	62011A	PAY	D	US
FTV 1154 DEB	1962011B	62011B	DEB	D	US
FTV 1154 DEB	1962011C	62011C	DEB	D	US
FTV 1154 DEB	1962011D	62011D	DEB	D	US
RANGER 4	1962012A	62012A	PAY	D	US
COSMOS 3 (SPUTNIK 13)	1962013A	62013A	PAY	D	CIS
ATLAS AGENA B R/B	1962012B	62012B	R/B	NA	US
SL-7 R/B	1962013B	62013B	R/B	D	CIS
SL-3 R/B	1962014B	62014B	R/B	D	CIS
ARIEL 1 (UK-1)	1962015A	62015A	PAY	D	UK
SAMOS 7 (FTV 2401)	1962016A	62016A	PAY	D	US
COSMOS 4 (SPUTNIK 14)	1962014A	62014A	PAY	D	CIS
DELTA 1 R/B	1962015B	62015B	R/B	D	US
SL-3 DEB	1962014C	62014C	DEB	D	CIS
FTV 1125	1962017A	62017A	PAY	D	US
FTV 1125 DEB	1962017B	62017B	DEB	D	US
FTV 1126	1962018A	62018A	PAY	D	US
FTV 1126 DEB	1962018B	62018B	DEB	D	US
FTV 1126 DEB	1962018C	62018C	DEB	D	US
MERCURY ATLAS 7	1962019A	62019A	PAY	D	US
ATLAS D 7 R/B	1962019B	62019B	R/B	D	US
COSMOS 5 (SPUTNIK 15)	1962020A	62020A	PAY	D	CIS
SL-7 R/B	1962020B	62020B	R/B	D	CIS
THOR ABLESTAR DEB	1961015CQ	61015CQ	DEB	NA	US
THOR ABLESTAR DEB	1961015CR	61015CR	DEB	D	US
THOR ABLESTAR DEB	1961015CS	61015CS	DEB	D	US
FTV 1128	1962021A	62021A	PAY	D	US
FTV 1128 DEB	1962021B	62021B	DEB	D	US
FTV 1127	1962022A	62022A	PAY	D	US
OSCAR 2 (OSCAR II)	1962022B	62022B	PAY	D	US
FTV 1127 DEB	1962022C	62022C	DEB	D	US
SAMOS 8 (FTV 2402)	1962023A	62023A	PAY	D	US
FTV 2312	1962024A	62024A	PAY	D	US
TIROS 5	1962025A	62025A	PAY	-	US
FTV 2312 DEB	1962024B	62024B	DEB	D	US
DELTA 1 R/B	1962025B	62025B	R/B	D	US
DELTA 1 DEB [YO]	1962025C	62025C	DEB	NA	US
DELTA 1 DEB [YO]	1962025D	62025D	DEB	D	US
FTV 2312 DEB	1962024C	62024C	DEB	D	US
FTV 1129	1962026A	62026A	PAY	D	US
FTV 1151	1962027A	62027A	PAY	D	US
THOR ABLESTAR DEB	1961015CT	61015CT	DEB	D	US
THOR ABLESTAR DEB	1961015CU	61015CU	DEB	NA	US
THOR ABLESTAR DEB	1961015CV	61015CV	DEB	D	US
THOR ABLESTAR DEB	1961015CW	61015CW	DEB	NA	US
THOR ABLESTAR DEB	1961015CX	61015CX	DEB	D	US
THOR ABLESTAR DEB	1961015CY	61015CY	DEB	D	US
THOR ABLESTAR DEB	1961015CZ	61015CZ	DEB	NA	US
THOR ABLESTAR DEB	1961015DA	61015DA	DEB	NA	US
THOR ABLESTAR DEB	1961015DB	61015DB	DEB	NA	US
THOR ABLESTAR DEB	1961015DC	61015DC	DEB	D	US
THOR ABLESTAR DEB	1961015DD	61015DD	DEB	NA	US
THOR ABLESTAR DEB	1961015DE	61015DE	DEB	D	US
THOR ABLESTAR DEB	1961015DF	61015DF	DEB	NA	US
THOR ABLESTAR DEB	1961015DG	61015DG	DEB	NA	US
THOR ABLESTAR DEB	1961015DH	61015DH	DEB	D	US
THOR ABLESTAR DEB	1961015DJ	61015DJ	DEB	D	US
THOR ABLESTAR DEB	1961015DK	61015DK	DEB	NA	US
THOR ABLESTAR DEB	1961015DL	61015DL	DEB	NA	US
THOR ABLESTAR DEB	1961015DM	61015DM	DEB	NA	US
THOR ABLESTAR DEB	1961015DN	61015DN	DEB	NA	US
THOR ABLESTAR DEB	1961015DP	61015DP	DEB	NA	US
COSMOS 6 (SPUTNIK 16)	1962028A	62028A	PAY	D	CIS
SL-7 R/B	1962028B	62028B	R/B	D	CIS
TELSTAR 1	1962029A	62029A	PAY	NA	US
DELTA 1 R/B	1962029B	62029B	R/B	NA	US
ATLAS AGENA B R/B	1962030A	62030A	R/B	D	US
SAMOS 9 (FTV 2403)	1962030B	62030B	PAY	D	US
FTV 1130	1962031A	62031A	PAY	D	US
FTV 1131	1962032A	62032A	PAY	D	US
COSMOS 7 (SPUTNIK 17)	1962033A	62033A	PAY	D	CIS
SL-3 R/B	1962033B	62033B	R/B	D	CIS
SL-3 DEB	1962033C	62033C	DEB	D	CIS
SL-3 DEB	1962033D	62033D	DEB	D	CIS
THOR ABLESTAR DEB	1961015DQ	61015DQ	DEB	NA	US
THOR ABLESTAR DEB	1961015DR	61015DR	DEB	NA	US
THOR ABLESTAR DEB	1961015DS	61015DS	DEB	D	US
THOR ABLESTAR DEB	1961015DT	61015DT	DEB	NA	US
THOR ABLESTAR DEB	1961015DU	61015DU	DEB	NA	US
THOR ABLESTAR DEB	1961015DV	61015DV	DEB	NA	US
THOR ABLESTAR DEB	1961015DW	61015DW	DEB	D	US
THOR ABLESTAR DEB	1961015DX	61015DX	DEB	NA	US
THOR ABLESTAR DEB	1961015DY	61015DY	DEB	D	US
THOR ABLESTAR DEB	1961015DZ	61015DZ	DEB	D	US
FTV 1152	1962034A	62034A	PAY	D	US
SAMOS 10 (FTV 2404)	1962035A	62035A	PAY	D	US
FTV 1152 DEB	1962034B	62034B	DEB	D	US
VOSTOK 3	1962036A	62036A	PAY	D	CIS
SL-3 R/B	1962036B	62036B	R/B	D	CIS
VOSTOK 4	1962037A	62037A	PAY	D	CIS
SL-3 R/B	1962037B	62037B	R/B	D	CIS
COSMOS 8 (SPUTNIK 18)	1962038A	62038A	PAY	D	CIS
SL-7 R/B	1962038B	62038B	R/B	D	CIS
FTV 3502	1962039A	62039A	PAY	NA	US
SCOUT X-2M DEB	1962039B	62039B	DEB	D	US
SPUTNIK 19	1962040A	62040A	PAY	D	CIS
SL-6 R/B	1962040B	62040B	R/B	D	CIS
SL-6 DEB	1962040C	62040C	DEB	D	CIS
MARINER 2	1962041A	62041A	PAY	NA	US
ATLAS AGENA B R/B	1962041B	62041B	R/B	NA	US
SL-6 DEB	1962040D	62040D	DEB	D	CIS
FTV 1153	1962042A	62042A	PAY	D	US
SCOUT X-2M DEB	1962039C	62039C	DEB	D	US
SL-6 DEB	1962040E	62040E	DEB	D	CIS
SL-6 DEB	1962040F	62040F	DEB	D	CIS
SPUTNIK 20	1962043A	62043A	PAY	D	CIS
SL-6 R/B	1962043B	62043B	R/B	D	CIS
SL-6 DEB	1962043C	62043C	DEB	D	CIS
SL-6 DEB	1962043D	62043D	DEB	D	CIS
FTV 1132	1962044A	62044A	PAY	D	US
SL-6 DEB	1962040G	62040G	DEB	D	CIS
SL-6 DEB	1962040H	62040H	DEB	D	CIS
SCOUT X-2M R/B	1962039D	62039D	R/B	D	US
SPUTNIK 21	1962045A	62045A	PAY	D	CIS
SL-6 R/B	1962045B	62045B	R/B	D	CIS
SL-6 DEB	1962045C	62045C	DEB	D	CIS
SL-6 DEB	1962045D	62045D	DEB	D	CIS
SL-6 DEB	1962045E	62045E	DEB	D	CIS
SL-6 DEB	1962045F	62045F	DEB	D	CIS
SL-6 DEB	1962045G	62045G	DEB	D	CIS
FTV 1133 & ERS 2	1962046A	62046A	PAY	D	US
TIROS 6	1962047A	62047A	PAY	-	US
DELTA 1 R/B	1962047B	62047B	R/B	D	US
DELTA 1 DEB [YO]	1962047C	62047C	DEB	D	US
DELTA 1 DEB [YO]	1962047D	62047D	DEB	D	US
THOR ABLESTAR DEB	1961015EA	61015EA	DEB	D	US
THOR ABLESTAR DEB	1961015EB	61015EB	DEB	NA	US
THOR ABLESTAR DEB	1961015EC	61015EC	DEB	NA	US
THOR ABLESTAR DEB	1961015ED	61015ED	DEB	NA	US
THOR ABLESTAR DEB	1961015EE	61015EE	DEB	NA	US
THOR ABLESTAR DEB	1961015EF	61015EF	DEB	NA	US
THOR ABLESTAR DEB	1961015EG	61015EG	DEB	NA	US
THOR ABLESTAR DEB	1961015EH	61015EH	DEB	NA	US
THOR ABLESTAR DEB	1961015EJ	61015EJ	DEB	NA	US
THOR ABLESTAR DEB	1961015EK	61015EK	DEB	NA	US
THOR ABLESTAR DEB	1961015EL	61015EL	DEB	D	US
THOR ABLESTAR DEB	1961015EM	61015EM	DEB	D	US
THOR ABLESTAR DEB	1961015EN	61015EN	DEB	D	US
THOR ABLESTAR DEB	1961015EP	61015EP	DEB	NA	US
THOR ABLESTAR DEB	1961015EQ	61015EQ	DEB	D	US
THOR ABLESTAR DEB	1961015ER	61015ER	DEB	NA	US
THOR ABLESTAR DEB	1961015ES	61015ES	DEB	NA	US
THOR ABLESTAR DEB	1961015ET	61015ET	DEB	D	US
THOR ABLESTAR DEB	1961015EU	61015EU	DEB	D	US
THOR ABLESTAR DEB	1961015EV	61015EV	DEB	NA	US
THOR ABLESTAR DEB	1961015EW	61015EW	DEB	D	US
COSMOS 9	1962048A	62048A	PAY	D	CIS
SL-3 R/B	1962048B	62048B	R/B	D	CIS
ALOUETTE 1 (S-27)	1962049A	62049A	PAY	NA	CA
SL-3 DEB	1962048C	62048C	DEB	D	CIS
THOR AGENA B R/B	1962049B	62049B	R/B	NA	US
FTV 1154	1962050A	62050A	PAY	D	US
SL-3 DEB	1962048D	62048D	DEB	D	CIS
SL-3 DEB	1962048E	62048E	DEB	D	CIS
SL-3 DEB	1962048F	62048F	DEB	D	CIS
SL-3 DEB	1962048G	62048G	DEB	D	CIS
EXPLORER 14 (SERB 53A)	1962051A	62051A	PAY	D	US
MERCURY ATLAS 8	1962052A	62052A	PAY	D	US
ATLAS D R/B	1962052B	62052B	R/B	D	US
SL-3 DEB	1962048H	62048H	DEB	D	CIS
FTV 1134	1962053A	62053A	PAY	D	US
COSMOS 10	1962054A	62054A	PAY	D	CIS
SL-3 R/B	1962054B	62054B	R/B	D	CIS
RANGER 5	1962055A	62055A	PAY	NA	US
ATLAS AGENA B R/B	1962055B	62055B	R/B	NA	US
COSMOS 11	1962056A	62056A	PAY	D	CIS
SL-7 R/B	1962056B	62056B	R/B	D	CIS
SPUTNIK 22	1962057A	62057A	PAY	D	CIS
STARAD (FTV 1401)	1962058A	62058A	PAY	D	US
EXPLORER 15 (SERB 53B)	1962059A	62059A	PAY	D	US
ANNA 1B	1962060A	62060A	PAY	NA	US
THOR ABLESTAR R/B	1962060B	62060B	R/B	NA	US
SL-6 R/B	1962061A	62061A	R/B	D	CIS
SL-6 DEB	1962061B	62061B	DEB	D	CIS
MARS 1	1962061C	62061C	PAY	NA	CIS
SPUTNIK 24	1962062A	62062A	PAY	D	CIS
SL-6 DEB	1962062B	62062B	DEB	D	CIS
FTV 1136	1962063A	62063A	PAY	D	US
SL-6 R/B	1962062C	62062C	R/B	D	CIS
FTV 2405	1962064A	62064A	PAY	D	US
SPUTNIK 22 DEB	1962057B	62057B	DEB	D	CIS
SPUTNIK 22 DEB	1962057C	62057C	DEB	D	CIS
SPUTNIK 22 DEB	1962057D	62057D	DEB	D	CIS
SPUTNIK 22 DEB	1962057E	62057E	DEB	D	CIS
